,Owner Address,NFT Count,Percentage
1,raBUcZ6CCfPbfQupUnBPXf7h9XWzK6PkiF,1000,47.66%
2,rJA5p2Lu412vvUYeNNSJyF7eFqzrhHQa7L,167,7.96%
3,rKJ2BLLiBnutm3vxNbqLDDHMACwJimnC4s,113,5.39%
4,rsSF2BWFVYaEaq7RUUWKibaDgg2BWeo6uQ,100,4.77%
5,r9jCWDGcjJeA719nc75ynzcj33RaETZfja,100,4.77%
6,rhCmJgCKMZWosWF3R2cUHjroQZCQAZ4KWE,66,3.15%
7,rhzoWHDPTCK1HBUY3481kcR6ixKgqaEJ9C,61,2.91%
8,rsgVp11rkCKUCGb1KJ5ZBGCUhAMFgmXZLf,51,2.43%
9,rDCzxj6qS4g4DJBfUcjH5euQft9e4qYuoJ,22,1.05%
10,rwFbWNBAJCqhKkQwfjFDqiHPzc3si59zN,20,0.95%
11,rnt4VshGTtGEjRzRgSsiznX4rKx8nFCuMs,15,0.71%
12,rnsfWKZZPy3E58551SPmVa1TQ2nkLLGXqJ,11,0.52%
13,rKLNzLCJgkEcghgTKwn3Z57NdE65LYhStY,10,0.48%
14,rJBtoQ16CtsbLXhqz5yH9opwb2cVXbZXHb,10,0.48%
15,rwDh4U8gNRSbNZjuAUshxYQZnNZNha8nMw,10,0.48%
16,r3mnfqjTqthfXNGe5mUPwG8HY2qaShGutM,10,0.48%
17,rsU8ti1n1LbYToMF69dtbJBkwnnZKHrgGt,9,0.43%
18,rHNTJeMvTyMxzo2S3Z5Z4agqXHEq58h39t,9,0.43%
19,r9zNUMtx3FmQds53TPijNQi7WTs1UEdo7D,9,0.43%
20,r4PCxTXDUigtVexQx3czgDv1NHRBF8C2QP,9,0.43%
21,raY2vCNbVUCiiEpQCU4VW7DS6p9easgFep,8,0.38%
22,r9CD3WZwVDV4e3XC3ndwXnX7SKZFMCZavE,8,0.38%
23,rDnUDpCunsAg9kiW5uUBJnuuJPfDeG4E54,8,0.38%
24,rUm54fdew66Huwa4S8pvRovpwWKo89wrnx,7,0.33%
25,rPKmKpdrqdcXMhxABTg1xiRYmxoVmz5dHh,7,0.33%
26,rhrfntz1qCQWbdB6vrCVrmqfAnjRXHWeGX,7,0.33%
27,rwxk4fxRkFTm5KJq4eDeohoUrVyPXvj7Ja,6,0.29%
28,rHSsTxXEbTdQXaQu4mcvcY7ExJ2VysF2jF,6,0.29%
29,rNgZ1bG6r95Z5xrhQ3j3Djdbac6XAkkE8d,6,0.29%
30,rfW3o8WMozHKAp2Qm7DpqkQk1Ff3NdwZTq,6,0.29%
31,rfYM8B4roN6fcgyGeycNnftvANKVWFmp5o,6,0.29%
32,rs8gYr54ZuQAWn9iN6RmtnE9y2BgJogrxh,6,0.29%
33,rJg7RCySmptyUL1BszN9ybsY3YDH5nnzfQ,5,0.24%
34,rK6r6yUjjB7wHbHZEvwxgtDpfRRHXM5nir,5,0.24%
35,rBEEqKWd83K4K4CwjpUSLyho6nkEUwLhdF,5,0.24%
36,rDH2iYbvvMDgQjJQDg1roZo61SSKwNfyQH,5,0.24%
37,rBmCoyKfwFqMLnRh1ESZB2X67woQ5YsqhA,5,0.24%
38,razPYLEpeHv8Mi7oGceCB1q9VHGynppurt,4,0.19%
39,rM5ciUrbcpgx62XwzM4hMG2XnuiF2EqX7r,4,0.19%
40,rsQ3NiXHdoDrWEHeEdDRtqfihmz2oaQDKF,4,0.19%
41,rNJqE2EgrN6B9uRwtchD1J1HDs6atwszo8,4,0.19%
42,rQQoStaHv5rTS2KMtmeTKL4ZQutJYZLy9,4,0.19%
43,rnA9nWHKmskTiyKodjxC584zHxVMqZ7CtH,4,0.19%
44,rpp4wPNRLTLMSeZoF9rcxuXyaC1FvxhjF2,4,0.19%
45,r4zFCTGoAqNYc4smUW6UWsi4W7oLaXX9UM,4,0.19%
46,rwcVvboqM3ia5ggeAEQHr9NNJoqk5Sg479,4,0.19%
47,rBDrvEo8bTzbFBa1szvu9mPHSUmDpqiSYi,4,0.19%
48,rJM1utwiDpr6QV6p61SKiNR4pYqQFz8svr,4,0.19%
49,rPS7Btb2kARQyKSvs7XeLZ9KnUo5uv3it1,3,0.14%
50,r4Xsri4DbDHGqjdSJx3tEvkxFq3mQR6JmG,3,0.14%
51,rnZhYkD5QNyBvBLtS9cLRsZFzjbCNYwEnp,3,0.14%
52,ruLh1QKjJzLdBFnxeC3mRWH5Bheykx1cK,3,0.14%
53,rH7y1WaMQDkDYjDGxr1STVKcNDcSGYD3wW,3,0.14%
54,rhDhxWFQ3GxcUedQ2Wu1E36TGLqkJmVVz9,3,0.14%
55,rV3kieW4vJRwhcEaU7ZLB5hrGe7tYYh2P,3,0.14%
56,rGjrZ8xWpvNeuq4eesorjnuby64unPcGDE,3,0.14%
57,rPvQoeGAs6krCpaToEG8HRT4SZY9LF7oy5,3,0.14%
58,rpjcW9Wf2aSfr61eRJNZkfdn8AuDF18tmc,3,0.14%
59,r98AFavzLpD37uR7LZ25xEyTcoovS11aik,3,0.14%
60,rKTHWyi6b2NVAZm4QdvdgkLPB7rcG2auE2,3,0.14%
61,r4cr647WCuWUvtxBeMgm4pm5PGpNTjgNdj,3,0.14%
62,rU3ynn5PfQhmxZsZm99V2bJfyc2jtNBgik,2,0.1%
63,rJCfHEPbS2BHR3HchzTZvLfRGxUqeQo1x7,2,0.1%
64,rUNRSXQfWeSiRiPiZc1y633Qtc2oDwYrS3,2,0.1%
65,rhRfoz92xxqrGQXvKnTghmDdadZhtBnEiT,2,0.1%
66,rDYQ6Un42gAs6cjjFrQbvcL5YS8p5Exu6g,2,0.1%
67,rwWJwakGqPEbjFNbKAEFgr9S56b4axBQB6,2,0.1%
68,rhv15kXiXXSvADUtDRp783qGiM2WcD6n5v,2,0.1%
69,rJ3ezdcFsH4M5DVM8B5h5iszpnXiVxgzmR,2,0.1%
70,rHNatwggEfaBtcnqoZzZPgkLaVzAiuY87q,2,0.1%
71,rP5iJTpyvjdTdisDfVUmZuTACWwSzEpfB6,2,0.1%
72,rKSg2VZbw9gRRuSwBjBFAfBoGC5Vs1FmFn,2,0.1%
73,rHJnTM27XAFiw9N6BtummQYTK9CpFPWZHc,2,0.1%
74,rH1tvwbL9ro2SmdB7ikdYXs73ZQfohdv7M,2,0.1%
75,rJSh4giZA9q7WbVG7ugWerfFnhyah765wX,2,0.1%
76,rQU4YbYjnu2bCwSFYJ8yGKTSxfWvNphKwe,2,0.1%
77,rDJeJEQoTjowZkK81sCRuAdt7Q4qVhEW3z,2,0.1%
78,rE1hxZqCzZEEMQsLwzET8tJAvnfXdzm8Az,2,0.1%
79,rz1wAAsQ24t36WKALbsFcoEwqvsicHRQ3,2,0.1%
80,rEd34cmPwX1uRmcUGTPz8wqUUYDCf53DTT,2,0.1%
81,rUPYLMSrsmH1fvMopPebfhiyMVyaEMTbQe,2,0.1%
82,rHeRda85XaF3mMm2T9BgGq6yPJ2pC2KMto,2,0.1%
83,rG5Gp9RyPL8PctPGmSZR6pnDwCz5idvtLk,2,0.1%
84,rEiU9rc7rMSZYk9JXqvDmhfG2q2KAVPX9D,2,0.1%
85,rD76ZvhKtf4dUC1iZTyhTBdKMsD5ajFJZ4,2,0.1%
86,rUMU65sai5cvPw2XimPoR8W7RSSXE3paBD,1,0.05%
87,raUXAEo9dT6NWWDrpPs6muPQbmrAyxj7Xm,1,0.05%
88,rEeWV1YoFjhhBMH3bfS9hNdjg38p9fmGM2,1,0.05%
89,rpSuvnuxnZGRzscfoRpV3iUcabiZqj23uH,1,0.05%
90,rMXxCMvPi7DZcetbhCdaw2VkDq2KozsxJj,1,0.05%
91,r9Lu7TdBiSvKLd4m1b3pzvYBp31YaYSZ9f,1,0.05%
92,rMiBWSgVCvrMsgoBFMAn5ALmupm99Gu3Xz,1,0.05%
93,rsKbfmk5a2YVLFta79XTkbpABq7mfCZvZS,1,0.05%
94,r4XP6b9Aq4SpJw9MUNyv4vstVwrfZxMePm,1,0.05%
95,rUTmG9nys1X1An6kK6ZAgUkpgede9EVhWG,1,0.05%
96,rwojihdc43JMqsdmRB5NjAhJGMFbk2h46d,1,0.05%
97,rtCyA1uPTBAtivCFCNXhnnfMeSHK1FujV,1,0.05%
98,rhREedisCRbomBAoU28hZejHKSVubo72D6,1,0.05%
99,rKtbJHab79WcyPCDHAJ2Kw51sRFKQBMPdU,1,0.05%
100,rxDvRgU4DEkmkXAWswgbXZTdFCcJDGPmZ,1,0.05%
101,raCudLauZYEtHbv1BN6aECAngHpudMithH,1,0.05%
102,rLGNJbhaeevZumr4sxA9EKFnGUYkvs1HNq,1,0.05%
103,rNwaBqzUGiTnGokaTudNLwmZio51UsrURo,1,0.05%
104,rwsrNqoA8MfS7TN7jnNqCWB2k3tirfnBUP,1,0.05%
105,rf8XFwVzcozDzEQ2XCLbSvd2RsyDXKr9Bv,1,0.05%
106,rJRyFaLhWGcEXsNE76awz76gYnyvqiKkGM,1,0.05%
107,r3i3LfamdjGPzLoLY8LR6DjAWfyVVFNLmb,1,0.05%
108,rJXWemwhjaxbVGRC7He8UPFe9rzf7x6XoQ,1,0.05%
109,rMDitVUHY9LUQrA1T5goqvPnV2HdFPo92Q,1,0.05%
110,rw2SHxNsoMG8mLx946ciNYjXbo3rYv18h9,1,0.05%
111,rJXXgZ1uuzbtGWPJ8QZS7robERjQ55EkS3,1,0.05%
112,rnoHp6GbDGZsetHi6fSwXZDCJPL1ZpnQDv,1,0.05%
113,r4hTH3SNcykD6obhv5nkgfh6vLVXwLZm8N,1,0.05%
114,rUpQVMxRUTgtpZh73NLoNn4ZCypz5F79Tn,1,0.05%
115,r3LAichpcBeZWk7LLSZcfSQcqYsvQ6beBc,1,0.05%
116,rKs9Qx89AMzeDxfAFrCXzGMi4B263ik24P,1,0.05%
117,rXMART8usFd5kABXCayoP6ZfB35b4v43t,1,0.05%
118,r4jDhMv1KdMLunGKUHoTRSWywWinAGc4VF,1,0.05%
119,rho44GXhrqDnsYMwqpLbdC5bkX9bi4zCiX,1,0.05%
120,rNshDYUks8FrdtocHbKoAUj76gaiwLbmmQ,1,0.05%
121,rETwrKyHAi8iGMyvr4zhHtQKJXe6JZeTjg,1,0.05%
122,rHRi3YrFUDXRaTybrMRWGg54t8fkD2Lnem,1,0.05%
123,rNHdbLZXiR1w53KxUiMGbx8g4R9Q4StRZ,1,0.05%
124,r49yMozUwy6z96HcjXr2TtJPbuEYCU1RNy,1,0.05%
125,r34cYXdaLxjuQa8q4qC6iNZngXTB8DFn4T,1,0.05%
126,r4Nhw86ET2sJFrcEH3kfUQTEWD2Vm68hem,1,0.05%
127,rwsYazpTPg2WvzMj3tMdkPoD4mjqDhSQbp,1,0.05%
128,rHVvv5hPtXjH2uB84BSk6pjsywZGDZv88s,1,0.05%
129,rfDHVZ57zngfAwDxK5m9ZT19gnxGtz4vb8,1,0.05%
130,rDiQjaf4YqvCcVB1chySso81MwQDfLvc9V,1,0.05%
131,rsVPEN1X51vmxs195bgwQR3a7n73JhHvrE,1,0.05%
132,rMhtKbDwBtP7GQYJFk5G5VnUVuLrzFUNWi,1,0.05%
133,rG5x2Wo2haeBZpFCg37LVxmdHv9wZhNYw5,1,0.05%
134,rabzBuuBmcGqrfxSVoX2adyMQsWRkHqVze,1,0.05%
135,rLdguuHzzpsaYvasLwhc7grcJGMZ3VLWUR,1,0.05%
136,rLiQX24k5UYXyRoLB1orkZRsuuk9rFHVKj,1,0.05%
137,rtKDwcgqA2yiWHsCo3wHSYGtRSzwoNnPE,1,0.05%
138,rD1CCGAhfKevmNunb18Zgv2Jx4MhWebeDg,1,0.05%
139,rKJSoJkdj9rWAGCezs6TyBjkvPit9t3SFp,1,0.05%
140,rPwfsTj2JjAUjdHovytimA5qWEX71SJw9m,1,0.05%
141,r1zt1Vxhh2FuF39BUgSJnL5DcaU6cbwnm,1,0.05%
142,rBFQfhKMdf515skiXZpaekTP9zQMCWw9Ko,1,0.05%
143,r44MoneyvZgUo8wEidp6NXcghkZ8YVMdkB,1,0.05%
144,rf1eRokdNrvbFQ8sun8TYqT2BNMf57vVnY,1,0.05%
